row ID,row m/z,row retention time,row identity (main ID),row identity (all IDs),row identity (main ID + details),row comment,row number of detected peaks,noisy_data.mzML Peak status,noisy_data.mzML Peak name,noisy_data.mzML Peak m/z,noisy_data.mzML Peak RT,noisy_data.mzML Peak RT start,noisy_data.mzML Peak RT end,noisy_data.mzML Peak duration time,noisy_data.mzML Peak height,noisy_data.mzML Peak area,noisy_data.mzML Peak charge,noisy_data.mzML Peak # data points,noisy_data.mzML Peak FWHM,noisy_data.mzML Peak tailing factor,noisy_data.mzML Peak asymmetry factor,noisy_data.mzML Peak m/z min,noisy_data.mzML Peak m/z max,
24,100.02300262451172,8.366666666666667,,,,"3274 : MZ=100.023, Time=8.35, Intensity=992997.6, Times=[7.967~8.767],  MZ=[100.023~100.0231]",1,DETECTED,100.0230 m/z @8.37 [noisy_data.mzML],100.02300262451172,8.366666666666667,7.983333333333333,8.766666666666667,0.7833333333333341,1004919.1875,2.0411252371337887E7,0,1000,0.32112148365712656,0.9226643986043703,0.9730116007444736,100.02300262451172,100.02300262451172,
25,100.02400207519531,8.366666666666667,,,,"3418 : MZ=100.024, Time=8.35, Intensity=1023841.0, Times=[7.883~8.683],  MZ=[100.024~100.0241]",1,DETECTED,100.0240 m/z @8.37 [noisy_data.mzML],100.02400207519531,8.366666666666667,7.883333333333334,8.683333333333334,0.7999999999999998,1046276.8125,2.0587545965576164E7,0,1000,0.3043098955797703,0.8780872840550793,0.873842069570178,100.02400207519531,100.02400207519531,
26,100.02400207519531,8.7,,,,"3419 : MZ=100.024, Time=8.7, Intensity=55881.4, Times=[8.7~8.8],  MZ=[100.024~100.0241]",1,DETECTED,100.0240 m/z @8.70 [noisy_data.mzML],100.02400207519531,8.7,8.7,8.8,0.10000000000000142,87792.6875,145071.90295410156,0,1000,0.02364239912579258,null,null,100.02400207519531,100.02400207519531,
27,100.0250015258789,7.95,,,,"3562 : MZ=100.025, Time=7.95, Intensity=34665.7, Times=[7.867~7.95],  MZ=[100.025~100.0251]",1,DETECTED,100.0250 m/z @7.95 [noisy_data.mzML],100.0250015258789,7.95,7.866666666666666,7.95,0.08333333333333393,34665.6796875,49410.72003173828,0,1000,null,0.5,null,100.0250015258789,100.0250015258789,
28,100.0250015258789,8.35,,,,"3563 : MZ=100.025, Time=8.35, Intensity=1005688.8, Times=[7.967~8.717],  MZ=[100.025~100.0251]",1,DETECTED,100.0250 m/z @8.35 [noisy_data.mzML],100.0250015258789,8.35,7.983333333333333,8.7,0.7166666666666659,1020771.5,2.0301646999999993E7,0,1000,0.3258232460956467,0.9321739060639762,0.8561133248942941,100.0250015258789,100.0250015258789,
29,100.0260009765625,8.333333333333334,,,,"3713 : MZ=100.026, Time=8.333, Intensity=1002918.4, Times=[7.983~8.767],  MZ=[100.026~100.0261]",1,DETECTED,100.0260 m/z @8.33 [noisy_data.mzML],100.0260009765625,8.333333333333334,7.983333333333333,8.766666666666667,0.7833333333333341,1033015.0625,2.0652825598754868E7,0,1000,0.31409436555437686,1.1271477916112795,1.2481831924499556,100.0260009765625,100.0260009765625,
30,100.0270004272461,7.95,,,,"3865 : MZ=100.027, Time=7.967, Intensity=48996.3, Times=[7.883~7.967],  MZ=[100.027~100.0271]",1,DETECTED,100.0270 m/z @7.95 [noisy_data.mzML],100.0270004272461,7.95,7.883333333333334,7.966666666666667,0.08333333333333304,81314.7890625,125850.31475830078,0,1000,0.02311629934574988,0.6257703117877277,0.46558122042821515,100.0270004272461,100.0270004272461,
31,100.0270004272461,8.333333333333334,,,,"3866 : MZ=100.027, Time=8.35, Intensity=1003884.3, Times=[7.983~8.767],  MZ=[100.027~100.0271]",1,DETECTED,100.0270 m/z @8.33 [noisy_data.mzML],100.0270004272461,8.333333333333334,7.983333333333333,8.766666666666667,0.7833333333333341,1037660.5625,2.0085613272460934E7,0,1000,0.3048176096081505,1.0337366470911518,0.9932729553763129,100.0270004272461,100.0270004272461,
32,100.02799987792969,8.316666666666666,,,,"4025 : MZ=100.028, Time=8.333, Intensity=984334.3, Times=[7.883~8.733],  MZ=[100.028~100.0281]",1,DETECTED,100.0280 m/z @8.32 [noisy_data.mzML],100.02799987792969,8.316666666666666,7.883333333333334,8.733333333333333,0.8499999999999988,1015149.1875,2.059932961651611E7,0,1000,0.3150066276826671,1.0026539584516274,0.2969322300388722,100.02799987792969,100.02799987792969,
33,100.02899932861328,8.35,,,,"4177 : MZ=100.029, Time=8.35, Intensity=1006872.0, Times=[7.933~8.817],  MZ=[100.0289~100.029]",1,DETECTED,100.0290 m/z @8.35 [noisy_data.mzML],100.02899932861328,8.35,7.966666666666667,8.816666666666666,0.8499999999999996,1019366.125,2.0723974360176083E7,0,1000,0.37484765309504375,0.647852750693353,0.9739225140330909,100.02899932861328,100.02899932861328,
34,100.02999877929688,7.983333333333333,,,,"4310 : MZ=100.03, Time=8.0, Intensity=52553.4, Times=[7.917~8.0],  MZ=[100.0299~100.03]",1,DETECTED,100.0300 m/z @7.98 [noisy_data.mzML],100.02999877929688,7.983333333333333,7.916666666666667,8.0,0.08333333333333304,86152.703125,127407.11291503906,0,1000,0.0846439955638747,0.9994746910671662,1.0544465700307342,100.02999877929688,100.02999877929688,
35,100.02999877929688,8.35,,,,"4311 : MZ=100.03, Time=8.333, Intensity=1011816.5, Times=[8.017~8.817],  MZ=[100.0299~100.03]",1,DETECTED,100.0300 m/z @8.35 [noisy_data.mzML],100.02999877929688,8.35,8.016666666666667,8.816666666666666,0.7999999999999989,1031750.75,2.009718000048827E7,0,1000,0.3610889214055355,0.9564525391178168,1.205203234664437,100.02999877929688,100.02999877929688,
36,100.03099822998047,8.316666666666666,,,,"4442 : MZ=100.031, Time=8.333, Intensity=1006161.6, Times=[7.883~8.767],  MZ=[100.0309~100.031]",1,DETECTED,100.0310 m/z @8.32 [noisy_data.mzML],100.03099822998047,8.316666666666666,7.883333333333334,8.766666666666667,0.8833333333333337,1030576.25,2.0781664014282227E7,0,1000,0.34365336869075946,1.1650739387783444,1.199641028239573,100.03099822998047,100.03099822998047,
37,100.03199768066406,8.35,,,,"4582 : MZ=100.032, Time=8.367, Intensity=990322.9, Times=[7.933~8.783],  MZ=[100.0319~100.032]",1,DETECTED,100.0320 m/z @8.35 [noisy_data.mzML],100.03199768066406,8.35,7.966666666666667,8.783333333333333,0.8166666666666664,1002427.5,2.048369796144104E7,0,1000,0.32980181176246504,0.8494313804787751,1.216512799946598,100.03199768066406,100.03199768066406,
38,100.03299713134766,8.366666666666667,,,,"4721 : MZ=100.033, Time=8.35, Intensity=979842.6, Times=[7.967~8.767],  MZ=[100.0329~100.033]",1,DETECTED,100.0330 m/z @8.37 [noisy_data.mzML],100.03299713134766,8.366666666666667,7.966666666666667,8.766666666666667,0.8000000000000007,1005115.4375,2.06229735779419E7,0,1000,0.37457283886284465,0.9474698360519151,1.209932789457331,100.03299713134766,100.03299713134766,
39,100.03399658203125,7.966666666666667,,,,"4860 : MZ=100.034, Time=7.967, Intensity=42790.1, Times=[7.8~7.967],  MZ=[100.0339~100.034]",1,DETECTED,100.0340 m/z @7.97 [noisy_data.mzML],100.03399658203125,7.966666666666667,7.8,7.966666666666667,0.16666666666666696,25440.50390625,86082.19714355469,0,1000,0.07944742504930247,0.5,null,100.03399658203125,100.03399658203125,
40,100.03399658203125,8.316666666666666,,,,"4861 : MZ=100.034, Time=8.333, Intensity=1000585.1, Times=[7.983~8.683],  MZ=[100.0339~100.034]",1,DETECTED,100.0340 m/z @8.32 [noisy_data.mzML],100.03399658203125,8.316666666666666,7.983333333333333,8.683333333333334,0.7000000000000002,1031648.0625,2.0639174017578125E7,0,1000,0.3242762303192688,1.0252167323935457,3.235093063310632,100.03399658203125,100.03399658203125,
41,100.03500366210938,8.35,,,,"5004 : MZ=100.035, Time=8.35, Intensity=1037897.4, Times=[8.0~8.65],  MZ=[100.035~100.0351]",1,DETECTED,100.0350 m/z @8.35 [noisy_data.mzML],100.03500366210938,8.35,8.0,8.65,0.6500000000000004,1043672.8125,2.043683055078124E7,0,1000,0.30026279376963494,0.9502948149345123,0.9886621462653536,100.03500366210938,100.03500366210938,
42,100.03600311279297,8.333333333333334,,,,"5154 : MZ=100.036, Time=8.333, Intensity=1004856.5, Times=[7.85~8.8],  MZ=[100.036~100.0361]",1,DETECTED,100.0360 m/z @8.33 [noisy_data.mzML],100.03600311279297,8.333333333333334,7.85,8.8,0.9500000000000011,1011200.5,2.09281466776123E7,0,1000,0.3154184217133267,0.9762881633301699,1.1737554345900536,100.03600311279297,100.03600311279297,
43,100.03700256347656,7.95,,,,"5307 : MZ=100.037, Time=8.0, Intensity=72277.6, Times=[7.883~8.017],  MZ=[100.037~100.0371]",1,DETECTED,100.0370 m/z @7.95 [noisy_data.mzML],100.03700256347656,7.95,7.883333333333334,8.016666666666667,0.13333333333333375,76516.0,330211.1184082072,0,1000,0.15276581647085763,0.7477041615191585,0.2534448615931497,100.03700256347656,100.03700256347656,
44,100.03700256347656,8.3,,,,"5308 : MZ=100.037, Time=8.317, Intensity=1000650.3, Times=[8.033~8.733],  MZ=[100.037~100.0371]",1,DETECTED,100.0370 m/z @8.30 [noisy_data.mzML],100.03700256347656,8.3,8.033333333333333,8.716666666666667,0.6833333333333336,1023568.8125,1.975619149755859E7,0,1000,0.30512620988772454,1.3362721670930473,1.4388115210317276,100.03700256347656,100.03700256347656,
