"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP3033",100.389,100.389,100.389,922,898,944,230771.013884805,53277.7528148574,9725.50739068538,0,1
"CP3034",100.389,100.389,100.389,879,863,898,171737.900015432,37261.1886002039,9913.30471122637,0,1
"CP1479",100.39,100.39,100.39,501,478,523,24137054.3896151,22732818.5759568,1949970.99464345,16,1
"CP0302",100.391,100.391,100.391,382,381,465,422286.851615645,91451.9683092651,9860.14079302549,0,1
"CP1459",100.391,100.391,100.391,499,477,520,18916162.0388484,17776017.2620129,1467912.29334471,11,1
"CP3035",100.391,100.391,100.391,907,906,937,158417.102629319,40143.3653652782,9767.6902404055,0,1
"CP1426",100.392,100.392,100.392,497,475,518,18995813.2807529,17572588.0386076,1323972.33171768,10,1
"CP1852",100.393,100.393,100.393,500,468,524,24416955.8278957,23151080.7657253,1712467.4039122,14,1
"CP0818",100.394,100.394,100.394,120,100,145,241422.255809885,209842.809536494,9893.17679777741,5,1
"CP2031",100.394,100.394,100.394,499,477,523,24449588.0200629,23919632.4495852,1613546.85553796,28,1
"CP3036",100.394,100.394,100.394,645,625,670,241422.255809885,57633.7351167153,9893.17679777741,0,1
"CP3039",100.394,100.394,100.394,764,763,778,77055.1406126469,15539.7747679741,9904.04746495187,0,1
"CP0817",100.394,100.394,100.394,322.147875024602,219,415,258134.429911152,222387.738163816,9995.4757746309,5,1
"CP0819",100.394,100.394,100.394,176,168,182,85060.8294527046,74569.4809115957,8860.27216445655,5,1
"CP0820",100.394,100.394,100.394,73,53,82,139743.848969229,120601.380221779,9880.54575165734,5,1
"CP0821",100.394,100.394,100.394,476,417,477,309528.398226279,269857.020828671,49846.0291058597,5,1
"CP0822",100.394,100.394,100.394,23,1,25,132209.659211803,115783.292169217,9996.80861830711,5,1
"CP0823",100.394,100.394,100.394,194,193,217,105801.115662325,88833.3875942044,9634.98365134001,5,1
"CP3037",100.394,100.394,100.394,701,693,707,85060.8294527046,20245.2370895596,8860.27216445655,0,1
"CP3038",100.394,100.394,100.394,853,831,878,253593.274198938,63424.2246268291,9995.4757746309,0,1
"CP1701",100.395,100.395,100.395,500,475,525,20797892.6884903,19640374.6967612,1479478.23458835,12,1
"CP0304",100.396,100.396,100.396,414,366,460,486394.088740926,122718.974509361,9868.52524802089,0,1
"CP1853",100.396,100.396,100.396,504,473,532,25873505.8771641,23429087.4612459,1675014.01752071,9,1
"CP0303",100.396,100.396,100.396,102,89,119,170927.454009652,48204.5545965913,9869.29423874244,0,1
"CP3040",100.396,100.396,100.396,627,614,644,170927.454009652,48204.5545965913,9869.29423874244,0,1
"CP3041",100.396,100.396,100.396,915,894,941,252677.807628643,64424.5698210558,9868.52524802089,0,1
"CP3044",100.397,100.397,100.397,998,958,1000,226743.554335553,54180.6947083569,9780.10326158255,0,1
"CP1184",100.397,100.397,100.397,183,157,210,278918.903095182,67935.3041558322,9832.7373736538,0,1
"CP1185",100.397,100.397,100.397,231,210,249,183568.079748657,46018.4212380962,9792.5150138326,0,1
"CP1595",100.397,100.397,100.397,501,478,523,19960702.0694714,19109756.0338529,1777487.57637075,21,1
"CP3042",100.397,100.397,100.397,708,682,735,278918.903095182,67935.3041558322,9832.7373736538,0,1
"CP3043",100.397,100.397,100.397,756,735,774,183568.079748657,46018.4212380962,9792.5150138326,0,1
"CP1064",100.398,100.398,100.398,141,119,160,216192.634715699,54180.717177996,9744.82060410082,0,1
"CP1065",100.398,100.398,100.398,231,209,248,210321.952118538,47228.0613878345,9810.18738122657,0,1
"CP1757",100.398,100.398,100.398,500,480,523,24460229.1042268,23653868.4770159,1802394.6582351,20,1
"CP3045",100.398,100.398,100.398,666,644,685,216192.634715699,54180.717177996,9744.82060410082,0,1
"CP3046",100.398,100.398,100.398,756,734,773,210321.952118538,47228.0613878345,9810.18738122657,0,1
"CP0306",100.399,100.399,100.399,131,105,155,250091.130468063,58941.4776291887,9865.84866419435,0,1
"CP3047",100.399,100.399,100.399,656,630,680,250091.130468063,58941.4776291887,9865.84866419435,0,1
"CP0305",100.399,100.399,100.399,18,5,38,177723.043269943,44786.0443433799,9975.07369611412,0,1
"CP1702",100.399,100.399,100.399,502,477,529,26056112.5114374,24590816.6611976,1432589.24878912,9,1
"CP1806",100.4,100.4,100.4,501,481,523,23085957.1320189,22222760.1833931,1519607.53385494,14,1
"CP2032",100.401,100.401,100.401,501,475,528,22411076.6796591,21883741.1997042,1640531.34113461,31,1
"CP1427",100.402,100.402,100.402,506,501,538,12518620.0652343,11044047.223106,1618013.93455545,5,1
"CP0307",100.403,100.403,100.403,84,50,132,444901.761163492,109144.788847234,9886.89276855439,0,1
"CP0308",100.403,100.403,100.403,228,206,260,305576.61260711,89198.9389303794,9976.14919440821,0,1
"CP0309",100.403,100.403,100.403,295,294,313,92278.625248,26978.2860754728,9957.54461502656,0,1
"CP3049",100.403,100.403,100.403,753,731,785,305576.61260711,89198.9389303794,9976.14919440821,0,1
"CP3050",100.403,100.403,100.403,820,819,838,92278.625248,26978.2860754728,9957.54461502656,0,1
"CP1758",100.403,100.403,100.403,501,479,522,19155324.8416883,18288487.7084292,1384630.66230327,12,1
"CP3048",100.403,100.403,100.403,615,595,644,286233.253190294,74142.892659614,9304.33650966734,0,1
"CP0310",100.404,100.404,100.404,96,76,115,212051.970132161,56832.8737697201,9828.29091604799,0,1
"CP0311",100.404,100.404,100.404,178,158,190,173532.119879965,44757.4913025029,9836.87985688448,0,1
"CP1480",100.404,100.404,100.404,502,501,536,12217212.5082666,11885074.3408194,1465516.29544764,22,1
"CP3051",100.404,100.404,100.404,621,601,640,212051.970132161,56832.8737697201,9828.29091604799,0,1
"CP3052",100.404,100.404,100.404,703,683,715,173532.119879965,44757.4913025029,9836.87985688448,0,1
"CP0313",100.405,100.405,100.405,246,228,259,144205.998673569,30030.8597331169,9972.22719481215,0,1
"CP3054",100.405,100.405,100.405,771,753,784,144205.998673569,30030.8597331169,9972.22719481215,0,1
"CP0312",100.405,100.405,100.405,279,259,300,206416.54082574,54445.8545673917,9949.16076539084,0,1
"CP1972",100.405,100.405,100.405,502,472,532,23881309.0324182,22924894.9483662,1723336.7042402,16,1
"CP3053",100.405,100.405,100.405,804,784,825,206416.54082574,54445.8545673917,9949.16076539084,0,1
"CP1854",100.406,100.406,100.406,501,474,530,22587685.2702937,21390853.3203415,1701933.02374025,14,1
"CP0314",100.407,100.407,100.407,158,146,187,222845.590503421,54097.4112383258,9850.95956828445,0,1
"CP0315",100.407,100.407,100.407,205,188,218,163067.306776065,34008.7759213509,9585.32293792814,0,1
"CP2033",100.407,100.407,100.407,502,472,531,24053423.9196457,22748435.3802084,1411821.43495926,9,1
"CP3055",100.407,100.407,100.407,683,671,712,222845.590503421,54097.4112383258,9850.95956828445,0,1
"CP3056",100.407,100.407,100.407,730,713,743,163067.306776065,34008.7759213509,9585.32293792814,0,1
"CP0316",100.407,100.407,100.407,127,125,154,160555.747470353,37591.6641566639,9557.16773401946,0,1
"CP3057",100.407,100.407,100.407,652,650,679,160555.747470353,37591.6641566639,9557.16773401946,0,1
"CP1703",100.408,100.408,100.408,501,485,529,23796029.4124483,22823032.2134501,1627899.9324483,13,1
"CP0317",100.409,100.409,100.409,219,198,236,191396.913137287,41981.2503585074,9564.40165638924,0,1
"CP1557",100.409,100.409,100.409,502,476,531,21908372.5405795,19947507.8197687,1738419.83404366,11,1
"CP3058",100.409,100.409,100.409,744,723,761,191396.913137287,41981.2503585074,9564.40165638924,0,1
"CP1807",100.41,100.41,100.41,502,478,524,20825033.5181619,20263085.4450248,1877503.44489072,35,1
"CP2071",100.411,100.411,100.411,500,478,529,27778604.8900498,27030548.6328872,1567907.21245174,17,1
"CP0318",100.412,100.412,100.412,195,178,214,182521.934360266,48708.3207130559,9780.29000805691,0,1
"CP0319",100.412,100.412,100.412,297,279,313,175761.255000252,44077.6942604254,9590.98586812615,0,1
"CP0320",100.412,100.412,100.412,344,327,366,194170.349896885,47294.7450027786,9987.46544122696,0,1
"CP0321",100.412,100.412,100.412,385,366,404,194437.760699075,51308.5200417914,9563.54124005884,0,1
"CP1855",100.412,100.412,100.412,500,472,531,22473274.6323891,21399436.1276825,1321972.54371375,12,1
"CP3059",100.412,100.412,100.412,720,703,739,182521.934360266,48708.3207130559,9780.29000805691,0,1
"CP3060",100.412,100.412,100.412,822,804,838,175761.255000252,44077.6942604254,9590.98586812615,0,1
"CP3061",100.412,100.412,100.412,869,852,891,194170.349896885,47294.7450027786,9987.46544122696,0,1
"CP3062",100.412,100.412,100.412,910,891,929,194437.760699075,51308.5200417914,9563.54124005884,0,1
"CP0322",100.413,100.413,100.413,310,288,330,226464.911580551,61266.6865969343,9897.72209664807,0,1
"CP0323",100.413,100.413,100.413,115,114,116,18295.2740113251,3772.04604830758,7990.37769669667,0,1
"CP0324",100.413,100.413,100.413,355,352,459,559581.276581157,128043.726475762,9796.00212769583,0,1
"CP1973",100.413,100.413,100.413,500,460,541,26504858.9310575,25494405.8118147,1569289.81967637,15,1
"CP3063",100.413,100.413,100.413,835,813,855,226464.911580551,61266.6865969343,9897.72209664807,0,1
"CP3064",100.413,100.413,100.413,640,639,641,18295.2740113251,3772.04604830758,7990.37769669667,0,1
"CP3065",100.413,100.413,100.413,880,877,927,272587.592396885,66101.3125195942,9790.74771748856,0,1
"CP1913",100.414,100.414,100.414,501,473,530,25095614.8787106,24103988.1283524,1408800.4407983,14,1
"CP3067",100.415,100.415,100.415,623,622,625,31415.7165214419,19629.0311186264,9680.66331464797,1,1
"CP1066",100.415,100.415,100.415,215,197,235,203013.4087638,51272.4794071862,9721.87750507146,0,1
"CP1639",100.415,100.415,100.415,500,468,535,26006833.7592982,24696205.4579876,2002653.0496211,17,1
"CP3066",100.415,100.415,100.415,756,722,798,203013.4087638,106171.258350369,9721.87750507146,1,1
"CP3068",100.415,100.415,100.415,680,667,701,177381.545489188,92871.6204012744,9602.11876779795,1,1
"CP3069",100.415,100.415,100.415,868,852,877,125104.116485454,60015.4331256635,9869.44978358224,1,1
"CP3070",100.415,100.415,100.415,825,799,827,140092.533349525,68827.0738193144,9708.39115325361,1,1
"CP3071",100.415,100.415,100.415,624,609,625,106049.575319048,58865.8645407607,9816.52382295579,1,1
"CP0325",100.416,100.416,100.416,3,1,22,119440.72245853,36684.954818102,9749.01692010462,0,1
"CP0326",100.416,100.416,100.416,369,332,350,97176.2590110302,24755.587306395,9186.43139535561,0,1
"CP0327",100.416,100.416,100.416,400,375,428,239940.688607749,58306.6832013362,9815.51134027541,0,1
"CP3072",100.416,100.416,100.416,911.046250414265,857,950,97176.2590110302,24755.587306395,9815.51134027541,0,1
"CP1974",100.416,100.416,100.416,500,481,524,22090672.9890103,21758470.6991341,1430315.03471281,34,1
"CP1808",100.417,100.417,100.417,500,466,530,20989456.4308496,20366074.3305179,1480653.56013915,29,1
"CP1704",100.418,100.418,100.418,502,471,530,23689113.8718919,22465608.3964741,2124387.10851593,19,1
"CP1596",100.419,100.419,100.419,502,467,536,24133504.6544825,21670211.0849862,1847045.10979725,12,1
"CP1067",100.42,100.42,100.42,110,99,127,144502.439342905,38054.9223720114,9730.33988615498,0,1
"CP1068",100.42,100.42,100.42,150,127,174,260438.11768759,52928.5092590844,9937.91939225048,0,1
"CP1069",100.42,100.42,100.42,249,230,270,222511.779989582,55279.9796909767,9960.19606012851,0,1
"CP1511",100.42,100.42,100.42,499,467,534,26657064.2707448,24768513.5391929,1721307.60328548,14,1
"CP3073",100.42,100.42,100.42,635,624,652,144502.439342905,38054.9223720114,9730.33988615498,0,1
"CP3074",100.42,100.42,100.42,675,652,699,260438.11768759,52928.5092590844,9937.91939225048,0,1
"CP3075",100.42,100.42,100.42,774,755,795,222511.779989582,55279.9796909767,9960.19606012851,0,1
"CP0328",100.421,100.421,100.421,182,171,222,299420.349057764,76592.3561843026,9651.12812351435,0,1
"CP0329",100.421,100.421,100.421,325,300,347,263821.852288675,71869.6665437473,9758.53371201083,0,1
"CP0330",100.421,100.421,100.421,153,152,172,117558.369536418,30185.1576706185,9618.94119391218,0,1
"CP1759",100.421,100.421,100.421,503,472,534,25054853.5683572,23542236.1124621,1656624.02322465,10,1
"CP3076",100.421,100.421,100.421,707,696,747,299420.349057764,76592.3561843026,9651.12812351435,0,1
"CP3077",100.421,100.421,100.421,850,825,872,263821.852288675,71869.6665437473,9758.53371201083,0,1
"CP3078",100.421,100.421,100.421,970,949,999,252604.276870843,51668.8553069842,9546.52276355773,0,1
"CP3079",100.421,100.421,100.421,678,677,697,117558.369536418,30185.1576706185,9618.94119391218,0,1
"CP1428",100.422,100.422,100.422,500,480,524,21937664.961609,21239870.5244699,1705862.40168866,25,1
"CP0826",100.423,100.423,100.423,407,400,427,132489.625988528,66251.9460706972,9887.48589297757,2,1
"CP2034",100.423,100.423,100.423,501,472,530,28302877.4518577,27442024.1537116,1683223.81696658,18,1
"CP3084",100.423,100.423,100.423,932,925,952,132489.625988528,65096.3603844866,9887.48589297757,2,1
"CP0824",100.423,100.423,100.423,238,230,257,135522.629471961,64780.9274075553,9296.94350343198,2,1
"CP0825",100.423,100.423,100.423,328,310,346,186356.697746087,99125.6007296033,9816.43112376332,2,1
"CP0827",100.423,100.423,100.423,161,160,162,22796.0532321595,14365.0572746992,9144.93715856224,2,1
"CP0828",100.423,100.423,100.423,285,284,310,163682.006027084,95246.7286307365,9897.03271072358,2,1
"CP0829",100.423,100.423,100.423,389,355,462,529061.775638256,269755.040218588,9953.7728400901,2,1
"CP3080",100.423,100.423,100.423,912,900,923,122804.834824055,63315.7495374326,9929.93335705251,2,1
"CP3081",100.423,100.423,100.423,975,954,999,207564.012254588,103562.149925856,9869.66729629785,2,1
"CP3082",100.423,100.423,100.423,763,755,782,135522.629471961,63368.5449021868,9296.94350343198,2,1
"CP3083",100.423,100.423,100.423,853,835,871,186356.697746087,97456.421405077,9816.43112376332,2,1
"CP3085",100.423,100.423,100.423,686,685,687,22796.0532321595,14172.4596603308,9144.93715856224,2,1
"CP3086",100.423,100.423,100.423,810,809,835,163682.006027084,93817.842467688,9897.03271072358,2,1
"CP0830",100.424,100.424,100.424,358,353,360,45345.2987037599,10205.1241060175,9403.53903919458,0,1
"CP1856",100.424,100.424,100.424,503,479,536,27242354.8196585,25208362.3208476,2036868.32902896,11,1
"CP3087",100.424,100.424,100.424,879,877,906,144038.21566375,36243.716310108,9918.94526174292,0,1
"CP1597",100.425,100.425,100.425,500,474,527,24423451.4137535,23392458.806776,1461091.36611724,12,1
"CP1857",100.426,100.426,100.426,499,474,524,23162538.9958432,22643496.5889208,1850304.18499251,18,1
"CP1705",100.427,100.427,100.427,503,479,532,24364840.9697888,23943367.4227065,1606643.05828357,33,1
"CP1598",100.428,100.428,100.428,500,478,520,25428462.3058275,24289397.1024914,1721011.06005325,16,1
"CP1914",100.429,100.429,100.429,504,483,527,23494690.0216453,22717592.964962,1509040.78221409,15,1
"CP1809",100.43,100.43,100.43,499,457,537,25397350.7520064,24859196.8273376,1857193.86733619,34,1
"CP1810",100.431,100.431,100.431,501,477,527,22692043.132056,21616253.9620178,1400744.55226835,13,1
"CP1186",100.432,100.432,100.432,419,364,466,534371.221235488,135228.039302909,9932.35720554367,0,1
"CP1187",100.432,100.432,100.432,103,87,109,90288.4857729077,17119.7241771891,9855.42523209006,0,1
"CP1188",100.432,100.432,100.432,58,34,60,126922.069403809,29191.1454203429,9734.26082869992,0,1
"CP3088",100.432,100.432,100.432,600.676275693541,532,634,371449.494548142,88065.4353803644,9855.42523209006,0,1
"CP3089",100.432,100.432,100.432,920,889,946,299922.718033195,75885.0072544731,9813.29136528075,0,1
"CP3090",100.432,100.432,100.432,967,945,999,271763.768198434,64095.1145021035,9932.35720554367,0,1
"CP1640",100.432,100.432,100.432,502,447,541,28976749.3236298,27112147.0141506,2383229.12836628,14,1
"CP0331",100.433,100.433,100.433,138,120,153,181027.025047224,47966.1002492257,9827.28232396767,0,1
"CP0332",100.433,100.433,100.433,220,195,251,276109.638162889,70153.930116668,9694.67625953257,0,1
"CP0333",100.433,100.433,100.433,371,350,387,179225.000201259,42843.6508943671,9538.70756318793,0,1
"CP2122",100.433,100.433,100.433,503,470,537,25940670.7779206,24731141.7987452,1361819.66650043,10,1
"CP3091",100.433,100.433,100.433,663,645,678,181027.025047224,47966.1002492257,9827.28232396767,0,1
"CP3092",100.433,100.433,100.433,745,720,776,276109.638162889,70153.930116668,9694.67625953257,0,1
"CP3093",100.433,100.433,100.433,896,875,912,179225.000201259,42843.6508943671,9538.70756318793,0,1
"CP1706",100.434,100.434,100.434,501,474,533,20917608.1216004,19583272.3825568,1318654.00467872,11,1
"CP3097",100.435,100.435,100.435,621,547,622,381227.339156903,75669.8892115494,9944.48844809085,0,1
"CP0334",100.435,100.435,100.435,93,78,113,182924.518988002,34745.097143173,9718.0738649331,0,1
"CP0335",100.435,100.435,100.435,202,170,226,297568.434679415,76625.3882070404,9936.45374197513,0,1
"CP0336",100.435,100.435,100.435,379,357,380,117199.55282053,26702.9900111411,9774.91576224566,0,1
"CP0337",100.435,100.435,100.435,147,120,172,246831.494041253,48867.7709528803,9374.08535042778,0,1
"CP0338",100.435,100.435,100.435,24,8,26,104146.195179783,22642.601793403,9385.63566654921,0,1
"CP1460",100.435,100.435,100.435,500,475,524,20412798.222561,18860033.7206334,1578835.15234892,12,1
"CP3094",100.435,100.435,100.435,727,695,751,297568.434679415,76625.3882070404,9936.45374197513,0,1
"CP3095",100.435,100.435,100.435,904,882,905,117199.55282053,26702.9900111411,9774.91576224566,0,1
"CP3096",100.435,100.435,100.435,672,645,697,246831.494041253,48867.7709528803,9374.08535042778,0,1
"CP1707",100.436,100.436,100.436,500,470,526,26822196.8808223,25756963.9523917,1780869.03579417,15,1
"CP1366",100.436,100.436,100.436,10,1,11,75101.4231704175,26071.0818923685,9942.0158402063,0,1
"CP1367",100.436,100.436,100.436,161,138,188,247835.28734697,53343.7154480825,9821.22717192397,0,1
"CP1368",100.436,100.436,100.436,325,306,342,173886.178687681,35354.3860157608,9726.40591440722,0,1
"CP0339",100.437,100.437,100.437,247.463560555584,184,298,337697.953013703,74292.8513833556,9931.57575605437,0,1
"CP0340",100.437,100.437,100.437,91,63,118,289811.621613335,79636.5567261245,9793.28177403659,0,1
"CP0343",100.437,100.437,100.437,321,299,342,198384.200981818,49956.1513350482,9585.6506889686,0,1
"CP1975",100.437,100.437,100.437,500,468,529,28904899.6900958,27333107.2108198,1728359.48906144,13,1
"CP3098",100.437,100.437,100.437,772.463560555584,709,823,337697.953013703,74292.8513833556,9931.57575605437,0,1
"CP3099",100.437,100.437,100.437,615,586,643,299905.402546283,84277.4329100323,9793.28177403659,0,1
"CP3101",100.437,100.437,100.437,846,824,867,198384.200981818,49956.1513350482,9585.6506889686,0,1
"CP0341",100.437,100.437,100.437,146,120,176,271584.331749473,51346.547684492,9529.51668063179,0,1
"CP0342",100.437,100.437,100.437,38,13,61,241514.000927564,59374.8104007444,9846.42142895609,0,1
"CP3100",100.437,100.437,100.437,671,645,701,271584.331749473,51346.547684492,9529.51668063179,0,1
"CP1976",100.438,100.438,100.438,500,478,527,24443219.3937276,23391737.8410404,1895633.14147527,20,1
"CP1641",100.439,100.439,100.439,500,478,524,24681275.7897442,23300577.2071233,1669873.50695517,14,1
"CP1444",100.44,100.44,100.44,499,467,529,28197584.170475,26217185.9982555,1609968.99992181,9,1
"CP1461",100.441,100.441,100.441,500,470,524,24371563.5099851,22350773.4569899,1739244.9679942,9,1
"CP0344",100.442,100.442,100.442,305,304,329,126936.385261361,22060.9803090142,8606.4691003412,0,1
"CP0345",100.442,100.442,100.442,354,329,375,239558.648457751,49729.7857305574,9796.26672808081,0,1
"CP0346",100.442,100.442,100.442,396,377,403,147933.588477317,34895.9543794398,9720.24577436969,0,1
"CP1481",100.442,100.442,100.442,498,460,536,25165044.5654546,23708568.0043012,1527542.1593287,11,1
"CP3102",100.442,100.442,100.442,830,829,854,126936.385261361,22060.9803090142,8606.4691003412,0,1
"CP3103",100.442,100.442,100.442,879,854,900,239558.648457751,49729.7857305574,9796.26672808081,0,1
"CP3104",100.442,100.442,100.442,926,924,956,160474.547385238,32695.6481954886,9959.84446024522,0,1
"CP0347",100.443,100.443,100.443,144,111,171,312681.069481187,74320.3758128992,9863.49826445803,0,1
"CP0348",100.443,100.443,100.443,205,185,224,232679.130551405,66341.4094882149,9890.43463952839,0,1
"CP0349",100.443,100.443,100.443,333,314,355,205827.968602534,48125.0268167167,9825.9775293991,0,1
"CP0350",100.443,100.443,100.443,242,240,246,50440.3719631955,19074.9684221823,9966.71353466809,0,1
"CP0351",100.443,100.443,100.443,404,388,421,150010.411124676,28822.360438368,9388.12183914706,0,1
"CP0352",100.443,100.443,100.443,88,62,89,138666.534540243,39169.5297431002,9833.67790002376,0,1
"CP3105",100.443,100.443,100.443,669,636,696,312681.069481187,74320.3758128992,9863.49826445803,0,1
"CP3106",100.443,100.443,100.443,730,710,749,232679.130551405,66341.4094882149,9890.43463952839,0,1
"CP3107",100.443,100.443,100.443,858,839,880,205827.968602534,48125.0268167167,9825.9775293991,0,1
"CP3108",100.443,100.443,100.443,936,894,938,205887.377075851,39529.7631589968,9996.04642391205,0,1
"CP3109",100.443,100.443,100.443,764,749,780,181396.013200283,46757.7683428575,9966.71353466809,0,1
"CP3110",100.443,100.443,100.443,613,538,617,382784.952516668,94066.5585870248,9833.67790002376,0,1
"CP1760",100.443,100.443,100.443,502,468,535,23164149.4081297,21820775.5360367,1358693.65085715,10,1
"CP1390",100.444,100.444,100.444,501,474,532,25913532.6472561,23513660.9362542,1654851.9742695,9,1
"CP1761",100.444,100.444,100.444,501,474,532,25913532.6472561,22331738.9810539,1654851.9742695,6,1
"CP0353",100.445,100.445,100.445,332,313,352,253985.500878189,68297.4234610993,9981.3146633096,0,1
"CP1642",100.445,100.445,100.445,500,479,526,23620111.925974,22277009.1112341,1715718.21774381,12,1
"CP3111",100.445,100.445,100.445,857,838,877,253985.500878189,68297.4234610993,9981.3146633096,0,1
"CP1708",100.446,100.446,100.446,499,473,520,25846409.8814402,24181409.2683925,1605645.94585554,9,1
"CP1262",100.447,100.447,100.447,165,152,184,179631.897970103,124936.607559212,9896.02411864325,3,1
"CP1267",100.447,100.447,100.447,326,312,341,136760.133947246,84940.9721273696,9521.35792234913,2,1
"CP3112",100.447,100.447,100.447,690,677,709,179631.897970103,105993.965395416,9896.02411864325,1,1
"CP1261",100.447,100.447,100.447,404.35892513516,341,466,198565.40504843,124133.308700402,9941.25895667821,3,1
"CP1263",100.447,100.447,100.447,259,243,278,192260.073784273,128254.336633836,9976.22389812022,3,1
"CP1264",100.447,100.447,100.447,101,85,118,173645.451245829,113269.709968008,9673.40446310118,2,1
"CP1265",100.447,100.447,100.447,295,280,312,166466.772502754,111170.562232728,9364.89809770137,2,1
"CP1266",100.447,100.447,100.447,128,118,138,115628.566523083,76963.4493731428,9937.46684165671,3,1
"CP1268",100.447,100.447,100.447,39,9,40,190818.157636095,131091.882055043,9711.77029889077,3,1
"CP1269",100.447,100.447,100.447,211,188,215,162896.850621328,111492.780508124,9915.14085326344,3,1
"CP1482",100.447,100.447,100.447,499,469,527,27648675.1721143,25403533.0702256,1565161.74596693,8,1
"CP3113",100.447,100.447,100.447,784,768,803,192260.073784273,104349.437427397,9976.22389812022,2,1
"CP3114",100.447,100.447,100.447,882,866,907,198565.40504843,97519.8422155033,9941.25895667821,2,1
"CP3115",100.447,100.447,100.447,927,907,943,164679.061877541,81518.7870447213,9209.92878265679,1,1
"CP3116",100.447,100.447,100.447,626,610,643,173645.451245829,91809.2498152206,9673.40446310118,1,1
"CP3117",100.447,100.447,100.447,820,805,837,166466.772502754,91281.4625740672,9364.89809770137,1,1
"CP3118",100.447,100.447,100.447,653,643,663,115628.566523083,62453.1537643634,9937.46684165671,2,1
"CP3119",100.447,100.447,100.447,564,527,582,323451.827922836,180332.741274033,9711.77029889077,1,1
"CP3120",100.447,100.447,100.447,975,974,977,29316.037343815,19112.133118324,9757.44492374361,1,1
"CP3121",100.447,100.447,100.447,736,713,740,162896.850621328,94723.608851588,9915.14085326344,2,1
"CP1709",100.448,100.448,100.448,500,464,534,22015764.1289918,19904668.5954702,1592929.40895271,9,1
"CP1811",100.449,100.449,100.449,500,468,530,26943364.3828916,24707039.6095869,1504749.32369717,9,1
"CP0833",100.45,100.45,100.45,142,141,165,137283.612240572,37986.2254357131,9984.73544837907,0,1
"CP1558",100.45,100.45,100.45,500,475,525,26050715.5622618,24457055.4176076,1510013.02653028,10,1
"CP3124",100.45,100.45,100.45,667,666,690,137283.612240572,37986.2254357131,9984.73544837907,0,1
"CP0831",100.45,100.45,100.45,28,21,48,147672.75567865,36649.4808014374,9980.58152385056,0,1
"CP0832",100.45,100.45,100.45,426,384,471,440315.855178051,108352.10956076,9967.34159067273,0,1
"CP0834",100.45,100.45,100.45,326,325,376,273306.770131458,60855.2547467545,9970.60680761933,0,1
"CP3122",100.45,100.45,100.45,851,850,896,246734.213992022,55946.7217260261,9970.60680761933,0,1
"CP3123",100.45,100.45,100.45,938,935,966,163182.182840537,45829.2283363641,9967.34159067273,0,1
"CP1512",100.451,100.451,100.451,502,477,533,22058572.4602483,19937243.7958143,1350628.51719076,8,1
"CP0354",100.452,100.452,100.452,37,19,56,213832.100187428,51417.2184678322,9997.22715700045,0,1
"CP0355",100.452,100.452,100.452,145,132,177,227723.7739251,53918.3543086462,9933.84876288474,0,1
"CP2223",100.452,100.452,100.452,500,472,532,25343708.1017712,24915083.5966719,1441809.02237198,45,1
"CP3125",100.452,100.452,100.452,722.710478363974,619,830,182554.792328738,182520.792328738,9940.2439664118,9736,1
"CP3126",100.452,100.452,100.452,769.42895657591,700,830,182554.792328738,182520.792328738,9940.2439664118,9736,1
"CP3127",100.452,100.452,100.452,941.153559162482,895,981,154189.460971393,154156.460971393,9902.08687027916,9901,1
"CP3128",100.452,100.452,100.452,675.566956000765,619,732,163651.396839414,163618.396839414,9940.2439664118,9702,1
"CP3130",100.452,100.452,100.452,866,865,867,17311.8655732833,17308.8655732833,9471.74338856712,9471,1
"CP3131",100.452,100.452,100.452,992,981,1000,89170.8678426221,89150.8678426221,9602.56211925298,9602,1
"CP3129",100.452,100.452,100.452,576.418445713959,532,608,130453.623109497,130425.623109497,9997.22715700045,9908,1
"CP1643",100.453,100.453,100.453,501,477,520,20800674.933242,19958159.8840529,1364558.85179534,11,1
"CP1915",100.454,100.454,100.454,502,480,525,24050193.1724788,23348735.5743071,1483758.96119687,18,1
"CP0356",100.455,100.455,100.455,402.223542032883,355,476,206953.13738659,49406.5801011014,9841.41271794215,0,1
"CP0358",100.455,100.455,100.455,53,37,73,177649.932499044,32610.8118946426,9571.41752354801,0,1
"CP1916",100.455,100.455,100.455,500,474,529,24750113.2788958,24272218.1515796,1764677.95215493,38,1
"CP3133",100.455,100.455,100.455,946,925,964,205864.202273078,43099.5502836079,9841.41271794215,0,1
"CP3134",100.455,100.455,100.455,901,880,922,206953.13738659,49406.5801011014,9673.62688621506,0,1
"CP3135",100.455,100.455,100.455,549,529,598,346910.434006713,72774.6909891564,9571.41752354801,0,1
"CP0357",100.455,100.455,100.455,170,153,188,180980.20618083,48940.810552201,9748.64221177995,0,1
"CP3132",100.455,100.455,100.455,695,678,713,180980.20618083,48940.810552201,9748.64221177995,0,1
"CP1858",100.456,100.456,100.456,500,477,521,22648259.0070843,22313995.0098213,1742015.8744339,51,1
"CP1070",100.457,100.457,100.457,385,367,402,194857.966001146,60342.3359316744,9904.90554599091,0,1
"CP1710",100.457,100.457,100.457,500,476,524,25578196.4515748,23372787.9852545,1714095.18398258,9,1
